gambler,8/18/2026,8/20/2026,8/24/2026,8/27/2026,8/31/2026,9/3/2026,9/7/2026,9/10/2026,9/14/2026,9/17/2026,9/21/2026
Anthross,75000,75000,75000,3506,48506,70539,70539,211693,179077,37223,42236
Arquen,-68365,1349,-47758,-47758,-247476,-247476,-197810,-210618,-170262,-20806,109194
Cheekybaby,105510,105510,55510,-34855,3239,-75949,-175949,-325949,-275949,-340949,-330949
Deroc,,,,-70616,-25143,157570,180600,217421,217421,217421,217421
Geers,-28574,-28574,-43265,-43265,105445,105445,160445,160445,160445,160445,160445
Huddington,-12066,22866,107373,148495,20401,-15017,-15017,34983,120507,120507,225567
Indecent,121085,121085,176106,172295,275012,275012,262637,262637,214949,139949,266287
Magicdemon,-181451,-181451,-31451,-117440,-162440,-2834,107343,157343,154402,240427,81368
Pyree,55000,20000,70000,246829,164647,-94217,-15027,81892,81892,119401,177643
Reldarus,-85592,-40592,-40592,-175592,-215592,-215592,-215592,-215592,-215592,-215592,-215592
Shamunroe,54292,13418,-111582,-71582,-71582,129400,48619,48670,48419,-4107,-62349
Tsuruga,,,,-27525,-27525,-27525,-27525,-27525,-77525,-77525,-77525
Vaxaldan,-30571,-30571,-131301,-49452,65548,-126316,-78784,-144091,-111475,-108949,-261301
Wikket,,-5814,-5814,-5814,-5814,-5814,-127253,-174083,-249083,-190219,-255219
Zevvo,-4268,-72226,-72226,72774,72774,72774,22774,-77226,-77226,-77226,-77226
