gambler,3/17/2026,3/19/2026,3/26/2026,3/30/2026,4/2/2026,4/6/2026,4/9/2026,4/13/2026,4/27/2026,4/30/2026,5/4/2026,5/7/2026,5/11/2026,5/14/2026,5/18/2026,5/21/2026,5/28/2026,6/1/2026,6/19/2026,6/25/2026
Anthross,,,1694,1694,1694,1694,1694,1694,1694,1846,66846,76846,84622,84622,159622,131799,7406,7406,7406,7406
Cheekybaby,,,-120000,-228969,-270696,-477015,-377319,-317319,-253774,-253774,-378774,-313774,-313774,-228774,-357782,-215307,267190,267190,392190,458683
Deroc,47269,132269,271111,271111,378714,469644,625845,625845,410529,410529,440039,160039,160039,110018,-123091,-123091,-123091,-123091,-123091,-123091
Geers,,-60973,-51978,-20288,-20288,-20288,-20288,238641,-36529,-36529,-36529,-36529,-36529,-101529,-38536,65325,-113232,-113232,-113232,15191
Huddington,195000,195000,168742,168742,197187,197187,197187,197187,222475,106543,103177,103177,173177,173177,173177,116962,-129040,-72814,-116991,-73577
Indecent,193433,119092,129172,15897,-51809,-155413,-221973,-286973,-253429,-98429,-98429,-98429,-98429,-199381,-135373,-185373,-185373,-185373,-185373,-185373
Magicdemon,-156050,-156050,-80403,-121377,-143382,56333,1333,-121554,-47718,-97915,-230632,-177694,-240922,-490181,-634739,-793600,-818600,-686907,-884395,-816181
Occurrence,-14853,-139853,-324182,-324182,-482025,-414221,-133746,-133746,139804,-15396,-15396,-95396,29604,420505,295505,443054,146611,146611,146611,146611
Pyree,115489,115489,-26858,-29319,23835,134247,134247,74247,-154862,-118267,39615,325184,379910,416783,626082,551082,751082,751082,751082,751082
Reldarus,,,,,235000,182696,182696,182696,182696,182696,182696,182696,185194,185194,185194,185194,185194,185194,185194,185194
Shamunroe,-242269,-247928,-168872,-168872,-168872,-168872,-337702,-402702,-336414,-187966,-187966,-379586,-379586,-379586,-379586,-321782,-321872,-321872,-249294,-304294
Trinjal,,-149027,-141691,-251215,-383455,-565960,-565960,-565960,-761435,-761435,-761435,-658069,-646746,-650796,-680421,-680421,-600421,-400421,-231244,-282788
Tsuruga,,,113351,113351,113351,131296,224123,347275,169241,294241,299241,153157,153157,248644,248644,169580,107664,-42336,-42336,-42336
Vaxaldan,-125000,0,92416,141940,99984,222887,10905,75905,278623,311563,389280,310103,102008,12010,12010,107669,663671,662445,537445,412445
Wikett,-13019,111981,139574,375288,394563,329586,202759,88412,84169,-92637,-166663,93345,103345,236684,486684,386299,386299,199606,199606,124606
Zevvo,0,80000,80000,138275,158275,158275,158275,158275,516853,516853,516853,516853,436853,254533,254533,254533,-131655,-181655,-181655,-181655
